Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2020/6/1 0:05:28, 10, Forward, 5, 120, 5, Automatic - Start!
2020/6/1 0:07:33, 10, Reverse, 5, 120, 5, Automatic
2020/6/1 0:12:28, 1, Forward, 30, 120, 15, Automatic
2020/6/1 0:14:58, 8, Reverse, 30, 120, 15, Automatic
2020/6/1 0:19:28, 2, Forward, 35, 120, 15, Automatic
2020/6/1 0:22:03, 8, Reverse, 35, 120, 15, Automatic
2020/6/1 0:26:28, 3, Forward, 40, 120, 15, Automatic
2020/6/1 0:29:08, 8, Reverse, 40, 120, 15, Automatic
2020/6/1 0:33:28, 12, Forward, 10, 120, 10, Automatic
2020/6/1 0:35:38, 12, Reverse, 10, 120, 10, Automatic
2020/6/1 0:40:28, 4, Forward, 42, 120, 15, Automatic
2020/6/1 0:43:10, 8, Reverse, 42, 120, 15, Automatic
2020/6/1 0:47:28, 5, Forward, 45, 120, 15, Automatic
2020/6/1 0:50:13, 8, Reverse, 45, 120, 15, Automatic
2020/6/1 0:54:28, 6, Forward, 50, 120, 15, Automatic
2020/6/1 0:57:18, 8, Reverse, 50, 120, 15, Automatic
2020/6/1 1:01:28, 12, Forward, 10, 120, 10, Automatic
2020/6/1 1:03:38, 12, Reverse, 10, 120, 10, Automatic
2020/6/1 1:08:28, 7, Forward, 52, 120, 15, Automatic
2020/6/1 1:11:20, 8, Reverse, 52, 120, 15, Automatic
2020/6/1 1:15:28, 12, Forward, 10, 120, 20, Automatic
2020/6/1 1:17:38, 12, Reverse, 10, 120, 20, Automatic
2020/6/1 1:22:28, 9, Forward, 7, 120, 15, Automatic
2020/6/1 1:24:35, 9, Reverse, 7, 120, 15, Automatic
2020/6/1 1:29:28, 12, Forward, 15, 120, 20, Automatic
2020/6/1 1:31:43, 12, Reverse, 15, 120, 20, Automatic
2020/6/1 1:36:28, 10, Forward, 5, 120, 5, Automatic
2020/6/1 1:38:33, 10, Reverse, 5, 120, 5, Automatic
2020/6/1 1:43:28, 1, Forward, 30, 120, 15, Automatic
2020/6/1 1:45:58, 8, Reverse, 30, 120, 15, Automatic
2020/6/1 1:50:28, 2, Forward, 35, 120, 15, Automatic
2020/6/1 1:53:03, 8, Reverse, 35, 120, 15, Automatic
2020/6/1 1:57:28, 3, Forward, 40, 120, 15, Automatic
2020/6/1 2:00:08, 8, Reverse, 40, 120, 15, Automatic
2020/6/1 2:04:28, 12, Forward, 10, 120, 10, Automatic
2020/6/1 2:06:38, 12, Reverse, 10, 120, 10, Automatic
2020/6/1 2:11:28, 4, Forward, 42, 120, 15, Automatic
2020/6/1 2:14:10, 8, Reverse, 42, 120, 15, Automatic
2020/6/1 2:18:28, 5, Forward, 45, 120, 15, Automatic
2020/6/1 2:21:13, 8, Reverse, 45, 120, 15, Automatic
2020/6/1 2:25:28, 6, Forward, 50, 120, 15, Automatic
2020/6/1 2:28:18, 8, Reverse, 50, 120, 15, Automatic
2020/6/1 2:32:28, 12, Forward, 10, 120, 10, Automatic
2020/6/1 2:34:38, 12, Reverse, 10, 120, 10, Automatic
2020/6/1 2:39:28, 7, Forward, 52, 120, 15, Automatic
2020/6/1 2:42:20, 8, Reverse, 52, 120, 15, Automatic
2020/6/1 2:46:28, 12, Forward, 10, 120, 20, Automatic
2020/6/1 2:48:38, 12, Reverse, 10, 120, 20, Automatic
2020/6/1 2:53:28, 9, Forward, 7, 120, 15, Automatic
2020/6/1 2:55:35, 9, Reverse, 7, 120, 15, Automatic
2020/6/1 3:00:28, 12, Forward, 15, 120, 20, Automatic
2020/6/1 3:02:43, 12, Reverse, 15, 120, 20, Automatic
2020/6/1 3:07:28, 10, Forward, 5, 120, 5, Automatic
2020/6/1 3:09:33, 10, Reverse, 5, 120, 5, Automatic
2020/6/1 3:14:28, 1, Forward, 30, 120, 15, Automatic
2020/6/1 3:16:58, 8, Reverse, 30, 120, 15, Automatic
2020/6/1 3:21:28, 2, Forward, 35, 120, 15, Automatic
2020/6/1 3:24:03, 8, Reverse, 35, 120, 15, Automatic
2020/6/1 3:28:28, 3, Forward, 40, 120, 15, Automatic
2020/6/1 3:31:08, 8, Reverse, 40, 120, 15, Automatic
2020/6/1 3:35:28, 12, Forward, 10, 120, 10, Automatic
2020/6/1 3:37:38, 12, Reverse, 10, 120, 10, Automatic
2020/6/1 3:42:28, 4, Forward, 42, 120, 15, Automatic
2020/6/1 3:45:10, 8, Reverse, 42, 120, 15, Automatic
2020/6/1 3:49:28, 5, Forward, 45, 120, 15, Automatic
2020/6/1 3:52:13, 8, Reverse, 45, 120, 15, Automatic
2020/6/1 3:56:28, 6, Forward, 50, 120, 15, Automatic
2020/6/1 3:59:18, 8, Reverse, 50, 120, 15, Automatic
2020/6/1 4:03:28, 12, Forward, 10, 120, 10, Automatic
2020/6/1 4:05:38, 12, Reverse, 10, 120, 10, Automatic
2020/6/1 4:10:28, 7, Forward, 52, 120, 15, Automatic
2020/6/1 4:13:20, 8, Reverse, 52, 120, 15, Automatic
